,video,method,scenario,name,value
72,1,newson,fixed,psnr,6
73,1,newson,removal,psnr,4
74,1,newson,synth,psnr,9
75,1,newson,fixed,ssim,2
76,1,newson,removal,ssim,3
77,1,newson,synth,ssim,2
78,1,newson,fixed,lpips,2
79,1,newson,removal,lpips,1
80,1,newson,synth,lpips,9
81,1,xu,fixed,psnr,8
82,1,xu,removal,psnr,5
83,1,xu,synth,psnr,9
84,1,xu,fixed,ssim,8
85,1,xu,removal,ssim,4
86,1,xu,synth,ssim,8
87,1,xu,fixed,lpips,1
88,1,xu,removal,lpips,6
89,1,xu,synth,lpips,5
90,1,lee,fixed,psnr,2
91,1,lee,removal,psnr,5
92,1,lee,synth,psnr,8
93,1,lee,fixed,ssim,7
94,1,lee,removal,ssim,9
95,1,lee,synth,ssim,1
96,1,lee,fixed,lpips,0
97,1,lee,removal,lpips,2
98,1,lee,synth,lpips,8
99,1,huang,fixed,psnr,4
100,1,huang,removal,psnr,4
101,1,huang,synth,psnr,2
102,1,huang,fixed,ssim,3
103,1,huang,removal,ssim,3
104,1,huang,synth,ssim,8
105,1,huang,fixed,lpips,9
106,1,huang,removal,lpips,2
107,1,huang,synth,lpips,3
108,1,oh,fixed,psnr,4
109,1,oh,removal,psnr,9
110,1,oh,synth,psnr,8
111,1,oh,fixed,ssim,0
112,1,oh,removal,ssim,3
113,1,oh,synth,ssim,5
114,1,oh,fixed,lpips,4
115,1,oh,removal,lpips,9
116,1,oh,synth,lpips,5
117,1,ours,fixed,psnr,6
118,1,ours,removal,psnr,2
119,1,ours,synth,psnr,4
120,1,ours,fixed,ssim,3
121,1,ours,removal,ssim,3
122,1,ours,synth,ssim,0
123,1,ours,fixed,lpips,2
124,1,ours,removal,lpips,5
125,1,ours,synth,lpips,6
126,2,kim,fixed,psnr,4
127,2,kim,removal,psnr,1
128,2,kim,synth,psnr,5
129,2,kim,fixed,ssim,6
130,2,kim,removal,ssim,4
131,2,kim,synth,ssim,3
132,2,kim,fixed,lpips,5
133,2,kim,removal,lpips,9
134,2,kim,synth,lpips,6
135,2,newson,fixed,psnr,5
136,2,newson,removal,psnr,1
137,2,newson,synth,psnr,8
138,2,newson,fixed,ssim,4
139,2,newson,removal,ssim,4
140,2,newson,synth,ssim,5
141,2,newson,fixed,lpips,9
142,2,newson,removal,lpips,6
143,2,newson,synth,lpips,2
144,2,xu,fixed,psnr,4
145,2,xu,removal,psnr,9
146,2,xu,synth,psnr,8
147,2,xu,fixed,ssim,3
148,2,xu,removal,ssim,8
149,2,xu,synth,ssim,1
150,2,xu,fixed,lpips,8
151,2,xu,removal,lpips,5
152,2,xu,synth,lpips,5
153,2,lee,fixed,psnr,7
154,2,lee,removal,psnr,1
155,2,lee,synth,psnr,4
156,2,lee,fixed,ssim,1
157,2,lee,removal,ssim,6
158,2,lee,synth,ssim,5
159,2,lee,fixed,lpips,8
160,2,lee,removal,lpips,9
161,2,lee,synth,lpips,1
162,2,huang,fixed,psnr,4
163,2,huang,removal,psnr,7
164,2,huang,synth,psnr,1
165,2,huang,fixed,ssim,9
166,2,huang,removal,ssim,0
167,2,huang,synth,ssim,3
168,2,huang,fixed,lpips,0
169,2,huang,removal,lpips,2
170,2,huang,synth,lpips,9
171,2,oh,fixed,psnr,8
172,2,oh,removal,psnr,9
173,2,oh,synth,psnr,7
174,2,oh,fixed,ssim,5
175,2,oh,removal,ssim,4
176,2,oh,synth,ssim,6
177,2,oh,fixed,lpips,1
178,2,oh,removal,lpips,6
179,2,oh,synth,lpips,4
180,2,ours,fixed,psnr,0
181,2,ours,removal,psnr,4
182,2,ours,synth,psnr,5
183,2,ours,fixed,ssim,8
184,2,ours,removal,ssim,6
185,2,ours,synth,ssim,3
186,2,ours,fixed,lpips,6
187,2,ours,removal,lpips,9
188,2,ours,synth,lpips,5
189,3,kim,fixed,psnr,9
190,3,kim,removal,psnr,2
191,3,kim,synth,psnr,2
192,3,kim,fixed,ssim,3
193,3,kim,removal,ssim,3
194,3,kim,synth,ssim,4
195,3,kim,fixed,lpips,7
196,3,kim,removal,lpips,2
197,3,kim,synth,lpips,0
198,3,newson,fixed,psnr,7
199,3,newson,removal,psnr,3
200,3,newson,synth,psnr,8
201,3,newson,fixed,ssim,0
202,3,newson,removal,ssim,8
203,3,newson,synth,ssim,0
204,3,newson,fixed,lpips,0
205,3,newson,removal,lpips,0
206,3,newson,synth,lpips,9
207,3,xu,fixed,psnr,2
208,3,xu,removal,psnr,1
209,3,xu,synth,psnr,6
210,3,xu,fixed,ssim,3
211,3,xu,removal,ssim,4
212,3,xu,synth,ssim,7
213,3,xu,fixed,lpips,3
214,3,xu,removal,lpips,3
215,3,xu,synth,lpips,9
216,3,lee,fixed,psnr,4
217,3,lee,removal,psnr,3
218,3,lee,synth,psnr,8
219,3,lee,fixed,ssim,7
220,3,lee,removal,ssim,8
221,3,lee,synth,ssim,1
222,3,lee,fixed,lpips,8
223,3,lee,removal,lpips,0
224,3,lee,synth,lpips,4
225,3,huang,fixed,psnr,4
226,3,huang,removal,psnr,6
227,3,huang,synth,psnr,4
228,3,huang,fixed,ssim,0
229,3,huang,removal,ssim,6
230,3,huang,synth,ssim,2
231,3,huang,fixed,lpips,1
232,3,huang,removal,lpips,9
233,3,huang,synth,lpips,1
234,3,oh,fixed,psnr,2
235,3,oh,removal,psnr,2
236,3,oh,synth,psnr,8
237,3,oh,fixed,ssim,2
238,3,oh,removal,ssim,5
239,3,oh,synth,ssim,3
240,3,oh,fixed,lpips,0
241,3,oh,removal,lpips,9
242,3,oh,synth,lpips,9
243,3,ours,fixed,psnr,8
244,3,ours,removal,psnr,5
245,3,ours,synth,psnr,5
246,3,ours,fixed,ssim,6
247,3,ours,removal,ssim,4
248,3,ours,synth,ssim,5
249,3,ours,fixed,lpips,3
250,3,ours,removal,lpips,1
251,3,ours,synth,lpips,3
252,4,kim,fixed,psnr,6
253,4,kim,removal,psnr,2
254,4,kim,synth,psnr,4
255,4,kim,fixed,ssim,6
256,4,kim,removal,ssim,0
257,4,kim,synth,ssim,8
258,4,kim,fixed,lpips,3
259,4,kim,removal,lpips,4
260,4,kim,synth,lpips,3
261,4,newson,fixed,psnr,8
262,4,newson,removal,psnr,6
263,4,newson,synth,psnr,3
264,4,newson,fixed,ssim,0
265,4,newson,removal,ssim,2
266,4,newson,synth,ssim,6
267,4,newson,fixed,lpips,5
268,4,newson,removal,lpips,7
269,4,newson,synth,lpips,6
270,4,xu,fixed,psnr,2
271,4,xu,removal,psnr,0
272,4,xu,synth,psnr,6
273,4,xu,fixed,ssim,9
274,4,xu,removal,ssim,3
275,4,xu,synth,ssim,2
276,4,xu,fixed,lpips,8
277,4,xu,removal,lpips,2
278,4,xu,synth,lpips,0
279,4,lee,fixed,psnr,9
280,4,lee,removal,psnr,0
281,4,lee,synth,psnr,5
282,4,lee,fixed,ssim,1
283,4,lee,removal,ssim,9
284,4,lee,synth,ssim,9
285,4,lee,fixed,lpips,2
286,4,lee,removal,lpips,9
287,4,lee,synth,lpips,8
288,4,huang,fixed,psnr,4
289,4,huang,removal,psnr,5
290,4,huang,synth,psnr,4
291,4,huang,fixed,ssim,4
292,4,huang,removal,ssim,2
293,4,huang,synth,ssim,2
294,4,huang,fixed,lpips,7
295,4,huang,removal,lpips,6
296,4,huang,synth,lpips,2
297,4,oh,fixed,psnr,1
298,4,oh,removal,psnr,3
299,4,oh,synth,psnr,1
300,4,oh,fixed,ssim,9
301,4,oh,removal,ssim,6
302,4,oh,synth,ssim,5
303,4,oh,fixed,lpips,2
304,4,oh,removal,lpips,8
305,4,oh,synth,lpips,6
306,4,ours,fixed,psnr,0
307,4,ours,removal,psnr,1
308,4,ours,synth,psnr,3
309,4,ours,fixed,ssim,3
310,4,ours,removal,ssim,4
311,4,ours,synth,ssim,4
312,4,ours,fixed,lpips,4
313,4,ours,removal,lpips,0
314,4,ours,synth,lpips,1
315,5,kim,fixed,psnr,6
316,5,kim,removal,psnr,6
317,5,kim,synth,psnr,3
318,5,kim,fixed,ssim,3
319,5,kim,removal,ssim,0
320,5,kim,synth,ssim,0
321,5,kim,fixed,lpips,4
322,5,kim,removal,lpips,9
323,5,kim,synth,lpips,3
324,5,newson,fixed,psnr,5
325,5,newson,removal,psnr,6
326,5,newson,synth,psnr,2
327,5,newson,fixed,ssim,4
328,5,newson,removal,ssim,9
329,5,newson,synth,ssim,7
330,5,newson,fixed,lpips,2
331,5,newson,removal,lpips,1
332,5,newson,synth,lpips,0
333,5,xu,fixed,psnr,3
334,5,xu,removal,psnr,7
335,5,xu,synth,psnr,9
336,5,xu,fixed,ssim,4
337,5,xu,removal,ssim,3
338,5,xu,synth,ssim,2
339,5,xu,fixed,lpips,2
340,5,xu,removal,lpips,4
341,5,xu,synth,lpips,9
342,5,lee,fixed,psnr,5
343,5,lee,removal,psnr,0
344,5,lee,synth,psnr,7
345,5,lee,fixed,ssim,3
346,5,lee,removal,ssim,9
347,5,lee,synth,ssim,2
348,5,lee,fixed,lpips,5
349,5,lee,removal,lpips,8
350,5,lee,synth,lpips,8
351,5,huang,fixed,psnr,6
352,5,huang,removal,psnr,8
353,5,huang,synth,psnr,1
354,5,huang,fixed,ssim,1
355,5,huang,removal,ssim,1
356,5,huang,synth,ssim,3
357,5,huang,fixed,lpips,0
358,5,huang,removal,lpips,3
359,5,huang,synth,lpips,3
360,5,oh,fixed,psnr,6
361,5,oh,removal,psnr,1
362,5,oh,synth,psnr,8
363,5,oh,fixed,ssim,8
364,5,oh,removal,ssim,4
365,5,oh,synth,ssim,7
366,5,oh,fixed,lpips,2
367,5,oh,removal,lpips,1
368,5,oh,synth,lpips,5
369,5,ours,fixed,psnr,2
370,5,ours,removal,psnr,5
371,5,ours,synth,psnr,8
372,5,ours,fixed,ssim,8
373,5,ours,removal,ssim,9
374,5,ours,synth,ssim,8
375,5,ours,fixed,lpips,9
376,5,ours,removal,lpips,5
377,5,ours,synth,lpips,1
378,6,kim,fixed,psnr,9
379,6,kim,removal,psnr,2
380,6,kim,synth,psnr,3
381,6,kim,fixed,ssim,8
382,6,kim,removal,ssim,8
383,6,kim,synth,ssim,1
384,6,kim,fixed,lpips,0
385,6,kim,removal,lpips,3
386,6,kim,synth,lpips,9
387,6,newson,fixed,psnr,2
388,6,newson,removal,psnr,6
389,6,newson,synth,psnr,9
390,6,newson,fixed,ssim,5
391,6,newson,removal,ssim,7
392,6,newson,synth,ssim,7
393,6,newson,fixed,lpips,4
394,6,newson,removal,lpips,6
395,6,newson,synth,lpips,4
396,6,xu,fixed,psnr,4
397,6,xu,removal,psnr,6
398,6,xu,synth,psnr,0
399,6,xu,fixed,ssim,2
400,6,xu,removal,ssim,1
401,6,xu,synth,ssim,2
402,6,xu,fixed,lpips,8
403,6,xu,removal,lpips,7
404,6,xu,synth,lpips,9
405,6,lee,fixed,psnr,1
406,6,lee,removal,psnr,4
407,6,lee,synth,psnr,4
408,6,lee,fixed,ssim,7
409,6,lee,removal,ssim,5
410,6,lee,synth,ssim,1
411,6,lee,fixed,lpips,1
412,6,lee,removal,lpips,7
413,6,lee,synth,lpips,2
414,6,huang,fixed,psnr,0
415,6,huang,removal,psnr,1
416,6,huang,synth,psnr,2
417,6,huang,fixed,ssim,1
418,6,huang,removal,ssim,7
419,6,huang,synth,ssim,7
420,6,huang,fixed,lpips,4
421,6,huang,removal,lpips,0
422,6,huang,synth,lpips,9
423,6,oh,fixed,psnr,8
424,6,oh,removal,psnr,2
425,6,oh,synth,psnr,4
426,6,oh,fixed,ssim,4
427,6,oh,removal,ssim,1
428,6,oh,synth,ssim,4
429,6,oh,fixed,lpips,0
430,6,oh,removal,lpips,8
431,6,oh,synth,lpips,9
432,6,ours,fixed,psnr,7
433,6,ours,removal,psnr,4
434,6,ours,synth,psnr,6
435,6,ours,fixed,ssim,5
436,6,ours,removal,ssim,0
437,6,ours,synth,ssim,4
438,6,ours,fixed,lpips,0
439,6,ours,removal,lpips,2
440,6,ours,synth,lpips,5
441,7,kim,fixed,psnr,9
442,7,kim,removal,psnr,0
443,7,kim,synth,psnr,8
444,7,kim,fixed,ssim,1
445,7,kim,removal,ssim,5
446,7,kim,synth,ssim,8
447,7,kim,fixed,lpips,8
448,7,kim,removal,lpips,3
449,7,kim,synth,lpips,7
450,7,newson,fixed,psnr,2
451,7,newson,removal,psnr,2
452,7,newson,synth,psnr,8
453,7,newson,fixed,ssim,5
454,7,newson,removal,ssim,0
455,7,newson,synth,ssim,0
456,7,newson,fixed,lpips,6
457,7,newson,removal,lpips,0
458,7,newson,synth,lpips,3
459,7,xu,fixed,psnr,6
460,7,xu,removal,psnr,7
461,7,xu,synth,psnr,7
462,7,xu,fixed,ssim,9
463,7,xu,removal,ssim,0
464,7,xu,synth,ssim,2
465,7,xu,fixed,lpips,6
466,7,xu,removal,lpips,0
467,7,xu,synth,lpips,7
468,7,lee,fixed,psnr,9
469,7,lee,removal,psnr,6
470,7,lee,synth,psnr,3
471,7,lee,fixed,ssim,5
472,7,lee,removal,ssim,9
473,7,lee,synth,ssim,0
474,7,lee,fixed,lpips,4
475,7,lee,removal,lpips,7
476,7,lee,synth,lpips,3
477,7,huang,fixed,psnr,0
478,7,huang,removal,psnr,4
479,7,huang,synth,psnr,6
480,7,huang,fixed,ssim,4
481,7,huang,removal,ssim,0
482,7,huang,synth,ssim,0
483,7,huang,fixed,lpips,5
484,7,huang,removal,lpips,3
485,7,huang,synth,lpips,8
486,7,oh,fixed,psnr,1
487,7,oh,removal,psnr,6
488,7,oh,synth,psnr,8
489,7,oh,fixed,ssim,3
490,7,oh,removal,ssim,6
491,7,oh,synth,ssim,7
492,7,oh,fixed,lpips,4
493,7,oh,removal,lpips,7
494,7,oh,synth,lpips,6
495,7,ours,fixed,psnr,1
496,7,ours,removal,psnr,5
497,7,ours,synth,psnr,7
498,7,ours,fixed,ssim,2
499,7,ours,removal,ssim,2
500,7,ours,synth,ssim,5
501,7,ours,fixed,lpips,8
502,7,ours,removal,lpips,7
503,7,ours,synth,lpips,2
504,8,kim,fixed,psnr,0
505,8,kim,removal,psnr,2
506,8,kim,synth,psnr,7
507,8,kim,fixed,ssim,8
508,8,kim,removal,ssim,3
509,8,kim,synth,ssim,3
510,8,kim,fixed,lpips,1
511,8,kim,removal,lpips,6
512,8,kim,synth,lpips,1
513,8,newson,fixed,psnr,6
514,8,newson,removal,psnr,5
515,8,newson,synth,psnr,1
516,8,newson,fixed,ssim,6
517,8,newson,removal,ssim,1
518,8,newson,synth,ssim,6
519,8,newson,fixed,lpips,5
520,8,newson,removal,lpips,0
521,8,newson,synth,lpips,1
522,8,xu,fixed,psnr,0
523,8,xu,removal,psnr,8
524,8,xu,synth,psnr,6
525,8,xu,fixed,ssim,5
526,8,xu,removal,ssim,6
527,8,xu,synth,ssim,6
528,8,xu,fixed,lpips,0
529,8,xu,removal,lpips,5
530,8,xu,synth,lpips,8
531,8,lee,fixed,psnr,4
532,8,lee,removal,psnr,3
533,8,lee,synth,psnr,5
534,8,lee,fixed,ssim,7
535,8,lee,removal,ssim,5
536,8,lee,synth,ssim,1
537,8,lee,fixed,lpips,2
538,8,lee,removal,lpips,9
539,8,lee,synth,lpips,1
540,8,huang,fixed,psnr,5
541,8,huang,removal,psnr,4
542,8,huang,synth,psnr,9
543,8,huang,fixed,ssim,0
544,8,huang,removal,ssim,1
545,8,huang,synth,ssim,5
546,8,huang,fixed,lpips,7
547,8,huang,removal,lpips,5
548,8,huang,synth,lpips,5
549,8,oh,fixed,psnr,0
550,8,oh,removal,psnr,4
551,8,oh,synth,psnr,3
552,8,oh,fixed,ssim,5
553,8,oh,removal,ssim,5
554,8,oh,synth,ssim,0
555,8,oh,fixed,lpips,3
556,8,oh,removal,lpips,4
557,8,oh,synth,lpips,3
558,8,ours,fixed,psnr,1
559,8,ours,removal,psnr,6
560,8,ours,synth,psnr,1
561,8,ours,fixed,ssim,8
562,8,ours,removal,ssim,8
563,8,ours,synth,ssim,6
564,8,ours,fixed,lpips,7
565,8,ours,removal,lpips,8
566,8,ours,synth,lpips,0
567,9,kim,fixed,psnr,2
568,9,kim,removal,psnr,4
569,9,kim,synth,psnr,8
570,9,kim,fixed,ssim,5
571,9,kim,removal,ssim,4
572,9,kim,synth,ssim,5
573,9,kim,fixed,lpips,2
574,9,kim,removal,lpips,0
575,9,kim,synth,lpips,7
576,9,newson,fixed,psnr,5
577,9,newson,removal,psnr,9
578,9,newson,synth,psnr,2
579,9,newson,fixed,ssim,0
580,9,newson,removal,ssim,4
581,9,newson,synth,ssim,6
582,9,newson,fixed,lpips,2
583,9,newson,removal,lpips,9
584,9,newson,synth,lpips,2
585,9,xu,fixed,psnr,9
586,9,xu,removal,psnr,5
587,9,xu,synth,psnr,5
588,9,xu,fixed,ssim,2
589,9,xu,removal,ssim,3
590,9,xu,synth,ssim,8
591,9,xu,fixed,lpips,5
592,9,xu,removal,lpips,3
593,9,xu,synth,lpips,1
594,9,lee,fixed,psnr,9
595,9,lee,removal,psnr,9
596,9,lee,synth,psnr,0
597,9,lee,fixed,ssim,5
598,9,lee,removal,ssim,0
599,9,lee,synth,ssim,9
600,9,lee,fixed,lpips,6
601,9,lee,removal,lpips,9
602,9,lee,synth,lpips,4
603,9,huang,fixed,psnr,4
604,9,huang,removal,psnr,9
605,9,huang,synth,psnr,5
606,9,huang,fixed,ssim,7
607,9,huang,removal,ssim,2
608,9,huang,synth,ssim,3
609,9,huang,fixed,lpips,4
610,9,huang,removal,lpips,5
611,9,huang,synth,lpips,2
612,9,oh,fixed,psnr,0
613,9,oh,removal,psnr,4
614,9,oh,synth,psnr,2
615,9,oh,fixed,ssim,9
616,9,oh,removal,ssim,3
617,9,oh,synth,ssim,5
618,9,oh,fixed,lpips,0
619,9,oh,removal,lpips,7
620,9,oh,synth,lpips,8
621,9,ours,fixed,psnr,3
622,9,ours,removal,psnr,3
623,9,ours,synth,psnr,4
624,9,ours,fixed,ssim,8
625,9,ours,removal,ssim,4
626,9,ours,synth,ssim,3
627,9,ours,fixed,lpips,0
628,9,ours,removal,lpips,9
629,9,ours,synth,lpips,3
630,10,kim,fixed,psnr,1
631,10,kim,removal,psnr,0
632,10,kim,synth,psnr,2
633,10,kim,fixed,ssim,9
634,10,kim,removal,ssim,4
635,10,kim,synth,ssim,5
636,10,kim,fixed,lpips,6
637,10,kim,removal,lpips,5
638,10,kim,synth,lpips,7
639,10,newson,fixed,psnr,9
640,10,newson,removal,psnr,2
641,10,newson,synth,psnr,3
642,10,newson,fixed,ssim,2
643,10,newson,removal,ssim,1
644,10,newson,synth,ssim,7
645,10,newson,fixed,lpips,6
646,10,newson,removal,lpips,2
647,10,newson,synth,lpips,0
648,10,xu,fixed,psnr,3
649,10,xu,removal,psnr,8
650,10,xu,synth,psnr,6
651,10,xu,fixed,ssim,2
652,10,xu,removal,ssim,5
653,10,xu,synth,ssim,2
654,10,xu,fixed,lpips,9
655,10,xu,removal,lpips,3
656,10,xu,synth,lpips,5
657,10,lee,fixed,psnr,7
658,10,lee,removal,psnr,9
659,10,lee,synth,psnr,7
660,10,lee,fixed,ssim,7
661,10,lee,removal,ssim,4
662,10,lee,synth,ssim,3
663,10,lee,fixed,lpips,0
664,10,lee,removal,lpips,3
665,10,lee,synth,lpips,1
666,10,huang,fixed,psnr,8
667,10,huang,removal,psnr,7
668,10,huang,synth,psnr,9
669,10,huang,fixed,ssim,9
670,10,huang,removal,ssim,6
671,10,huang,synth,ssim,4
672,10,huang,fixed,lpips,9
673,10,huang,removal,lpips,8
674,10,huang,synth,lpips,6
675,10,oh,fixed,psnr,5
676,10,oh,removal,psnr,3
677,10,oh,synth,psnr,4
678,10,oh,fixed,ssim,1
679,10,oh,removal,ssim,7
680,10,oh,synth,ssim,6
681,10,oh,fixed,lpips,4
682,10,oh,removal,lpips,5
683,10,oh,synth,lpips,6
684,10,ours,fixed,psnr,6
685,10,ours,removal,psnr,5
686,10,ours,synth,psnr,5
687,10,ours,fixed,ssim,5
688,10,ours,removal,ssim,7
689,10,ours,synth,ssim,7
690,10,ours,fixed,lpips,0
691,10,ours,removal,lpips,5
692,10,ours,synth,lpips,8
693,11,kim,fixed,psnr,8
694,11,kim,removal,psnr,7
695,11,kim,synth,psnr,7
696,11,kim,fixed,ssim,0
697,11,kim,removal,ssim,9
698,11,kim,synth,ssim,2
699,11,kim,fixed,lpips,5
700,11,kim,removal,lpips,7
701,11,kim,synth,lpips,1
702,11,newson,fixed,psnr,6
703,11,newson,removal,psnr,8
704,11,newson,synth,psnr,5
705,11,newson,fixed,ssim,2
706,11,newson,removal,ssim,6
707,11,newson,synth,ssim,6
708,11,newson,fixed,lpips,9
709,11,newson,removal,lpips,1
710,11,newson,synth,lpips,6
711,11,xu,fixed,psnr,6
712,11,xu,removal,psnr,4
713,11,xu,synth,psnr,5
714,11,xu,fixed,ssim,3
715,11,xu,removal,ssim,6
716,11,xu,synth,ssim,1
717,11,xu,fixed,lpips,9
718,11,xu,removal,lpips,4
719,11,xu,synth,lpips,5
720,11,lee,fixed,psnr,3
721,11,lee,removal,psnr,4
722,11,lee,synth,psnr,5
723,11,lee,fixed,ssim,7
724,11,lee,removal,ssim,8
725,11,lee,synth,ssim,3
726,11,lee,fixed,lpips,0
727,11,lee,removal,lpips,3
728,11,lee,synth,lpips,6
729,11,huang,fixed,psnr,6
730,11,huang,removal,psnr,8
731,11,huang,synth,psnr,3
732,11,huang,fixed,ssim,3
733,11,huang,removal,ssim,5
734,11,huang,synth,ssim,4
735,11,huang,fixed,lpips,5
736,11,huang,removal,lpips,7
737,11,huang,synth,lpips,1
738,11,oh,fixed,psnr,5
739,11,oh,removal,psnr,0
740,11,oh,synth,psnr,4
741,11,oh,fixed,ssim,2
742,11,oh,removal,ssim,8
743,11,oh,synth,ssim,3
744,11,oh,fixed,lpips,8
745,11,oh,removal,lpips,8
746,11,oh,synth,lpips,2
747,11,ours,fixed,psnr,0
748,11,ours,removal,psnr,6
749,11,ours,synth,psnr,5
750,11,ours,fixed,ssim,6
751,11,ours,removal,ssim,5
752,11,ours,synth,ssim,0
753,11,ours,fixed,lpips,8
754,11,ours,removal,lpips,3
755,11,ours,synth,lpips,5
756,12,kim,fixed,psnr,9
757,12,kim,removal,psnr,2
758,12,kim,synth,psnr,6
759,12,kim,fixed,ssim,4
760,12,kim,removal,ssim,6
761,12,kim,synth,ssim,1
762,12,kim,fixed,lpips,4
763,12,kim,removal,lpips,1
764,12,kim,synth,lpips,9
765,12,newson,fixed,psnr,6
766,12,newson,removal,psnr,9
767,12,newson,synth,psnr,0
768,12,newson,fixed,ssim,7
769,12,newson,removal,ssim,8
770,12,newson,synth,ssim,1
771,12,newson,fixed,lpips,6
772,12,newson,removal,lpips,2
773,12,newson,synth,lpips,7
774,12,xu,fixed,psnr,6
775,12,xu,removal,psnr,2
776,12,xu,synth,psnr,3
777,12,xu,fixed,ssim,0
778,12,xu,removal,ssim,5
779,12,xu,synth,ssim,1
780,12,xu,fixed,lpips,4
781,12,xu,removal,lpips,7
782,12,xu,synth,lpips,2
783,12,lee,fixed,psnr,2
784,12,lee,removal,psnr,3
785,12,lee,synth,psnr,3
786,12,lee,fixed,ssim,7
787,12,lee,removal,ssim,5
788,12,lee,synth,ssim,1
789,12,lee,fixed,lpips,7
790,12,lee,removal,lpips,3
791,12,lee,synth,lpips,6
792,12,huang,fixed,psnr,5
793,12,huang,removal,psnr,7
794,12,huang,synth,psnr,6
795,12,huang,fixed,ssim,3
796,12,huang,removal,ssim,1
797,12,huang,synth,ssim,1
798,12,huang,fixed,lpips,1
799,12,huang,removal,lpips,0
800,12,huang,synth,lpips,2
801,12,oh,fixed,psnr,5
802,12,oh,removal,psnr,4
803,12,oh,synth,psnr,8
804,12,oh,fixed,ssim,8
805,12,oh,removal,ssim,3
806,12,oh,synth,ssim,2
807,12,oh,fixed,lpips,2
808,12,oh,removal,lpips,5
809,12,oh,synth,lpips,1
810,12,ours,fixed,psnr,9
811,12,ours,removal,psnr,2
812,12,ours,synth,psnr,8
813,12,ours,fixed,ssim,9
814,12,ours,removal,ssim,3
815,12,ours,synth,ssim,0
816,12,ours,fixed,lpips,6
817,12,ours,removal,lpips,4
818,12,ours,synth,lpips,4
819,13,kim,fixed,psnr,5
820,13,kim,removal,psnr,2
821,13,kim,synth,psnr,5
822,13,kim,fixed,ssim,4
823,13,kim,removal,ssim,4
824,13,kim,synth,ssim,6
825,13,kim,fixed,lpips,6
826,13,kim,removal,lpips,6
827,13,kim,synth,lpips,1
828,13,newson,fixed,psnr,1
829,13,newson,removal,psnr,7
830,13,newson,synth,psnr,5
831,13,newson,fixed,ssim,1
832,13,newson,removal,ssim,6
833,13,newson,synth,ssim,6
834,13,newson,fixed,lpips,5
835,13,newson,removal,lpips,1
836,13,newson,synth,lpips,9
837,13,xu,fixed,psnr,4
838,13,xu,removal,psnr,7
839,13,xu,synth,psnr,7
840,13,xu,fixed,ssim,7
841,13,xu,removal,ssim,9
842,13,xu,synth,ssim,6
843,13,xu,fixed,lpips,8
844,13,xu,removal,lpips,2
845,13,xu,synth,lpips,2
846,13,lee,fixed,psnr,3
847,13,lee,removal,psnr,9
848,13,lee,synth,psnr,8
849,13,lee,fixed,ssim,8
850,13,lee,removal,ssim,4
851,13,lee,synth,ssim,2
852,13,lee,fixed,lpips,9
853,13,lee,removal,lpips,1
854,13,lee,synth,lpips,2
