SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-22-2020,Single Family Residential,10823 5th Ave S,Seattle,WA,98168,435000,3,1.0,Boulevard Park,1800,6250,1948,113,242,,Sold,,,http://www.redfin.com/WA/Seattle/10823-5th-Ave-S-98168/home/188988,NWMLS,1588507,N,Y,47.5059323,-122.3274421
PAST SALE,November-4-2019,Single Family Residential,13721 19th Ave NE,Seattle,WA,98125,700000,3,2.0,Olympic Hills,2749,10649,1951,313,255,,Sold,,,http://www.redfin.com/WA/Seattle/13721-19th-Ave-NE-98125/home/114761,NWMLS,1517937,N,Y,47.7290697,-122.3089269
PAST SALE,August-7-2020,Single Family Residential,713 22nd Ave,Seattle,WA,98122,952500,3,1.75,Central Area,1760,5400,1995,36,541,,Sold,,,http://www.redfin.com/WA/Seattle/713-22nd-Ave-98122/home/143224,NWMLS,1623550,N,Y,47.6084333,-122.3040504
PAST SALE,May-4-2020,Single Family Residential,616 21st Ave E,Seattle,WA,98112,805000,4,1.0,Capitol Hill,1800,3200,1914,131,447,,Sold,,,http://www.redfin.com/WA/Seattle/616-21st-Ave-E-98112/home/143845,NWMLS,1577856,N,Y,47.6249804,-122.3043838
PAST SALE,April-3-2020,Single Family Residential,2015 NE 104th St,Seattle,WA,98125,800000,4,1.5,Victory Heights,2060,9570,1949,162,388,,Sold,,,http://www.redfin.com/WA/Seattle/2015-NE-104th-St-98125/home/107596,NWMLS,1572001,N,Y,47.7037003,-122.3062545
PAST SALE,March-2-2020,Single Family Residential,8322 Wolcott Ave S,Seattle,WA,98118,632000,3,1.75,Dunlap,1340,7500,1955,194,472,,Sold,,,http://www.redfin.com/WA/Seattle/8322-Wolcott-Ave-S-98118/home/174340,NWMLS,1561640,N,Y,47.5289915,-122.2673508
PAST SALE,October-25-2019,Single Family Residential,5145 55th Ave S,Seattle,WA,98118,1067000,4,2.75,Seward Park,2670,7263,1956,323,400,,Sold,,,http://www.redfin.com/WA/Seattle/5145-55th-Ave-S-98118/home/489575,NWMLS,1501907,N,Y,47.5553808,-122.2649448
PAST SALE,May-8-2020,Single Family Residential,3032 NW 60th St,Seattle,WA,98107,1260000,4,3.0,Ballard,3225,5000,1906,127,391,,Sold,,,http://www.redfin.com/WA/Seattle/3032-NW-60th-St-98107/home/162859,NWMLS,1575688,N,Y,47.6724682,-122.3971151
PAST SALE,December-23-2019,Single Family Residential,5617 Ann Arbor Ave NE,Seattle,WA,98105,1600000,4,3.25,View Ridge,3400,8583,1939,264,471,,Sold,,,http://www.redfin.com/WA/Seattle/5617-Ann-Arbor-Ave-NE-98105/home/320404,NWMLS,1544095,N,Y,47.6704171,-122.2751529
PAST SALE,November-21-2019,Single Family Residential,13037 37th Ave NE,Seattle,WA,98125,570000,4,2.5,Cedar Park,1780,6483,1978,296,320,,Sold,,,http://www.redfin.com/WA/Seattle/13037-37th-Ave-NE-98125/home/110903,NWMLS,1451773,N,Y,47.7239459,-122.2894829
PAST SALE,July-7-2020,Single Family Residential,5134 S Fountain St,Seattle,WA,98178,700000,7,3.5,Rainier Beach,3360,16650,1956,67,208,,Sold,,,http://www.redfin.com/WA/Seattle/5134-S-Fountain-St-98178/home/178282,NWMLS,1603384,N,Y,47.5039157,-122.2685296
PAST SALE,March-30-2020,Single Family Residential,4001 2nd Ave NW,Seattle,WA,98107,1075000,4,1.75,Fremont,2360,4250,1940,166,456,,Sold,,,http://www.redfin.com/WA/Seattle/4001-2nd-Ave-NW-98107/home/302901,NWMLS,1569814,N,Y,47.6557508,-122.3592419
PAST SALE,April-22-2020,Single Family Residential,10041 30th Ave SW,Seattle,WA,98146,875000,4,2.5,Arbor Heights,2690,6520,2019,143,325,,Sold,,,http://www.redfin.com/WA/Seattle/10041-30th-Ave-SW-98146/home/8189677,NWMLS,1566515,N,Y,47.512552,-122.3713787
PAST SALE,August-25-2020,Single Family Residential,534 N 75th St,Seattle,WA,98103,1200000,3,3.25,Green Lake,2310,4120,2002,18,519,,Sold,,,http://www.redfin.com/WA/Seattle/534-N-75th-St-98103/home/301725,NWMLS,1634338,N,Y,47.6835072,-122.350929
PAST SALE,July-1-2020,Single Family Residential,112 N 43rd St,Seattle,WA,98103,963500,2,1.75,Fremont,1624,3302,1916,73,593,,Sold,,,http://www.redfin.com/WA/Seattle/112-N-43rd-St-98103/home/302204,NWMLS,1617334,N,Y,47.6597439,-122.3565701
PAST SALE,October-18-2019,Single Family Residential,808 N 60th St,Seattle,WA,98103,1116000,4,2.5,Phinney Ridge,2060,5000,2013,330,542,,Sold,,,http://www.redfin.com/WA/Seattle/808-N-60th-St-98103/home/39905050,NWMLS,1516862,N,Y,47.6726213,-122.3479257
PAST SALE,March-23-2020,Single Family Residential,918 W McGraw St,Seattle,WA,98119,1375000,3,2.25,Queen Anne,2500,5410,1947,173,550,,Sold,,,http://www.redfin.com/WA/Seattle/918-W-McGraw-St-98119/home/129853,NWMLS,1559967,N,Y,47.6397471,-122.369761
PAST SALE,June-8-2020,Single Family Residential,3508 W Thurman St,Seattle,WA,98199,799000,2,1.75,Magnolia,1425,6000,1942,96,561,,Sold,,,http://www.redfin.com/WA/Seattle/3508-W-Thurman-St-98199/home/128202,NWMLS,1591526,N,Y,47.6560784,-122.4027755
PAST SALE,July-31-2020,Single Family Residential,2431 7th Ave W,Seattle,WA,98119,999000,5,2.0,Queen Anne,2480,4800,1906,43,403,,Sold,,,http://www.redfin.com/WA/Seattle/2431-7th-Ave-W-98119/home/130719,NWMLS,1623340,N,Y,47.6405322,-122.3665968
PAST SALE,June-1-2020,Single Family Residential,6050 41st Ave SW,Seattle,WA,98136,665000,3,,West Seattle,1240,6250,1943,103,536,,Sold,,,http://www.redfin.com/WA/Seattle/6050-41st-Ave-SW-98136/home/470598,NWMLS,1609890,N,Y,47.5469416,-122.3841592
PAST SALE,November-25-2019,Single Family Residential,3036 13th Ave W,Seattle,WA,98119,885000,4,1.75,Queen Anne,2070,5150,1948,292,428,,Sold,,,http://www.redfin.com/WA/Seattle/3036-13th-Ave-W-98119/home/130517,NWMLS,1526804,N,Y,47.647814,-122.3732919
PAST SALE,April-27-2020,Single Family Residential,5633 12th Ave NE,Seattle,WA,98105,950000,4,1.75,Wallingford,1984,4600,1920,138,479,,Sold,,,http://www.redfin.com/WA/Seattle/5633-12th-Ave-NE-98105/home/311879,NWMLS,1583259,N,Y,47.6704479,-122.3154777
PAST SALE,March-25-2020,Single Family Residential,2849 36th Ave W,Seattle,WA,98199,772000,3,1.0,Magnolia,960,3960,1943,171,804,,Sold,,,http://www.redfin.com/WA/Seattle/2849-36th-Ave-W-98199/home/125831,NWMLS,1566169,N,Y,47.6465177,-122.4039234
PAST SALE,July-20-2020,Single Family Residential,9741 48th Ave NE,Seattle,WA,98115,885000,4,2.0,Matthews Beach,2060,7200,1938,54,430,,Sold,,,http://www.redfin.com/WA/Seattle/9741-48th-Ave-NE-98115/home/318961,NWMLS,1607332,N,Y,47.7006178,-122.2768065
PAST SALE,December-19-2019,Single Family Residential,5506 NE 73rd St,Seattle,WA,98115,849950,3,1.0,View Ridge,1816,4950,1945,268,468,,Sold,,,http://www.redfin.com/WA/Seattle/5506-NE-73rd-St-98115/home/321595,NWMLS,1540989,N,Y,47.6813228,-122.2686623
PAST SALE,January-28-2020,Single Family Residential,6612 High Point Dr SW,Seattle,WA,98126,665000,4,2.5,High Point,1900,4030,2014,228,350,107,Sold,,,http://www.redfin.com/WA/Seattle/6612-High-Point-Dr-SW-98126/home/18662058,NWMLS,1545463,N,Y,47.542910194,-122.3671551
PAST SALE,December-31-2019,Single Family Residential,11332 12th Ave NE,Seattle,WA,98125,525000,2,1.0,Pinehurst,800,7000,1943,256,656,,Sold,,,http://www.redfin.com/WA/Seattle/11332-12th-Ave-NE-98125/home/106358,NWMLS,1529675,N,Y,47.7113618,-122.3148888
PAST SALE,September-4-2020,Single Family Residential,2854 39th Ave W,Seattle,WA,98199,1250000,3,1.75,Magnolia,3080,6255,1949,8,406,,Sold,,,http://www.redfin.com/WA/Seattle/2854-39th-Ave-W-98199/home/126677,NWMLS,1640708,N,Y,47.6465861,-122.4065921
PAST SALE,April-21-2020,Single Family Residential,516 N 68th St,Seattle,WA,98103,1653000,5,4.0,Phinney Ridge,3220,7350,1910,144,513,,Sold,,,http://www.redfin.com/WA/Seattle/516-N-68th-St-98103/home/301095,NWMLS,1580126,N,Y,47.6789612,-122.3518504
PAST SALE,April-6-2020,Single Family Residential,4046 SW Henderson St,Seattle,WA,98136,1620000,3,2.5,Fauntleroy,3340,12049,1951,159,485,,Sold,,,http://www.redfin.com/WA/Seattle/4046-SW-Henderson-St-98136/home/157011,NWMLS,1552524,N,Y,47.5222628,-122.3850874
PAST SALE,August-27-2020,Single Family Residential,11529 Sand Point Way NE,Seattle,WA,98125,729000,3,1.75,Matthews Beach,1660,7000,1944,16,439,,Sold,,,http://www.redfin.com/WA/Seattle/11529-Sand-Point-Way-NE-98125/home/110936,NWMLS,1630378,N,Y,47.7131452,-122.2824759
PAST SALE,September-3-2020,Single Family Residential,6112 Greenwood Ave N,Seattle,WA,98103,1050000,4,2.5,Phinney Ridge,2500,3500,1908,9,420,,Sold,,,http://www.redfin.com/WA/Seattle/6112-Greenwood-Ave-N-98103/home/299641,NWMLS,1638986,N,Y,47.6735666,-122.3550901
PAST SALE,August-6-2020,Single Family Residential,2651 NW 63rd St Unit B,Seattle,WA,98107,915000,3,2.25,Ballard,1712,1475,2016,37,534,,Sold,,,http://www.redfin.com/WA/Seattle/2651-NW-63rd-St-98107/unit-B/home/102134092,NWMLS,1630649,N,Y,47.6743785,-122.3923492
PAST SALE,May-18-2020,Single Family Residential,7310 7th Ave SW,Seattle,WA,98106,500000,3,2.0,Highland Park,1250,6000,1971,117,400,,Sold,,,http://www.redfin.com/WA/Seattle/7310-7th-Ave-SW-98106/home/475885,NWMLS,1585459,N,Y,47.536498,-122.3441874
PAST SALE,March-11-2020,Single Family Residential,1235 NE 105th St,Seattle,WA,98125,1020000,5,3.5,Maple Leaf,2500,9350,1962,185,408,,Sold,,,http://www.redfin.com/WA/Seattle/1235-NE-105th-St-98125/home/107845,NWMLS,1560090,N,Y,47.7045606,-122.3136047
PAST SALE,March-20-2020,Single Family Residential,12624 70th Ave S,Seattle,WA,98178,397000,2,1.0,Skyway,710,6960,1943,176,559,,Sold,,,http://www.redfin.com/WA/Seattle/12624-70th-Ave-S-98178/home/196671,NWMLS,1566759,N,Y,47.4886082,-122.2464022
PAST SALE,April-20-2020,Single Family Residential,8844 38th Ave S,Seattle,WA,98118,669000,5,3.5,Sodo,2540,4000,2011,145,263,,Sold,,,http://www.redfin.com/WA/Seattle/8844-38th-Ave-S-98118/home/480697,NWMLS,1580638,N,Y,47.5229282,-122.2845665
PAST SALE,August-31-2020,Single Family Residential,2518 3rd Ave W,Seattle,WA,98119,998000,4,1.75,Queen Anne,1880,4800,1921,12,531,,Sold,,,http://www.redfin.com/WA/Seattle/2518-3rd-Ave-W-98119/home/130912,NWMLS,1635280,N,Y,47.6420872,-122.3605652
PAST SALE,June-16-2020,Single Family Residential,4225 Williams Ave W,Seattle,WA,98199,1146500,5,2.75,Magnolia,2740,4400,1912,88,418,,Sold,,,http://www.redfin.com/WA/Seattle/4225-Williams-Ave-W-98199/home/124461,NWMLS,1605088,N,Y,47.6584172,-122.3924947
PAST SALE,May-7-2020,Single Family Residential,11734 35th Ave NE,Seattle,WA,98125,569950,2,1.75,Matthews Beach,1380,7626,1936,128,413,,Sold,,,http://www.redfin.com/WA/Seattle/11734-35th-Ave-NE-98125/home/111005,NWMLS,1579547,N,Y,47.7147038,-122.2911804
PAST SALE,August-14-2020,Single Family Residential,2557 11th Ave W,Seattle,WA,98119,1710000,3,3.25,Queen Anne,2730,5000,1917,29,626,,Sold,,,http://www.redfin.com/WA/Seattle/2557-11th-Ave-W-98119/home/130160,NWMLS,1633218,N,Y,47.642464,-122.3718857
PAST SALE,November-5-2019,Single Family Residential,8306 8th Ave NE,Seattle,WA,98115,795000,3,1.5,Maple Leaf,2150,3080,1928,312,370,,Sold,,,http://www.redfin.com/WA/Seattle/8306-8th-Ave-NE-98115/home/108665,NWMLS,1510556,N,Y,47.6892395,-122.3200517
PAST SALE,September-13-2019,Single Family Residential,6316 Wilson Ave S,Seattle,WA,98118,1000000,4,2.25,Seward Park,3690,7620,1948,365,271,,Sold,,,http://www.redfin.com/WA/Seattle/6316-Wilson-Ave-S-98118/home/489951,NWMLS,1470739,N,Y,47.5454754,-122.2635535
PAST SALE,May-19-2020,Single Family Residential,534 NE 125th St,Seattle,WA,98125,751000,3,1.75,Pinehurst,1760,7247,1949,116,427,,Sold,,,http://www.redfin.com/WA/Seattle/534-NE-125th-St-98125/home/105955,NWMLS,1592640,N,Y,47.7196765,-122.3220972
PAST SALE,April-27-2020,Single Family Residential,2327 W Crockett St,Seattle,WA,98199,1055000,3,3.25,Magnolia,1880,1798,2014,138,561,,Sold,,,http://www.redfin.com/WA/Seattle/2327-W-Crockett-St-98199/home/69353967,NWMLS,1576434,N,Y,47.6374057,-122.387521
PAST SALE,August-28-2020,Single Family Residential,1619 32nd Ave,Seattle,WA,98122,1075000,4,1.75,Madrona,2100,6000,1910,15,512,,Sold,,,http://www.redfin.com/WA/Seattle/1619-32nd-Ave-98122/home/148226,NWMLS,1634035,N,Y,47.6158884,-122.2915624
PAST SALE,December-12-2019,Single Family Residential,13522 Burke Ave N,Seattle,WA,98133,745000,4,2.5,Haller Lake,2250,6800,1947,275,331,,Sold,,,http://www.redfin.com/WA/Seattle/13522-Burke-Ave-N-98133/home/101980,NWMLS,1537120,N,Y,47.7275552,-122.3352515
PAST SALE,April-24-2020,Single Family Residential,2120 NW 97th St,Seattle,WA,98117,2430000,5,3.0,North Beach,4030,10000,1951,141,603,,Sold,,,http://www.redfin.com/WA/Seattle/2120-NW-97th-St-98117/home/289774,NWMLS,1568462,N,Y,47.6999492,-122.3838651
PAST SALE,April-7-2020,Single Family Residential,3576 SW Admiral Way,Seattle,WA,98126,1315000,4,3.5,North Admiral,2870,10836,1918,158,458,,Sold,,,http://www.redfin.com/WA/Seattle/3576-SW-Admiral-Way-98126/home/151002,NWMLS,1567651,N,Y,47.580111,-122.3762535
PAST SALE,June-16-2020,Single Family Residential,549 19th Ave,Seattle,WA,98122,665000,4,3.5,Seattle,1980,5120,1901,88,336,,Sold,,,http://www.redfin.com/WA/Seattle/549-19th-Ave-98122/home/143597,NWMLS,1595503,N,Y,47.6076115,-122.3079024
PAST SALE,August-28-2020,Single Family Residential,121 27th Ave E,Seattle,WA,98112,935000,3,2.5,Madison Valley,2180,2780,1900,15,429,,Sold,,,http://www.redfin.com/WA/Seattle/121-27th-Ave-E-98112/home/146650,NWMLS,1629024,N,Y,47.6196025,-122.2975527
PAST SALE,June-5-2020,Single Family Residential,6233 38th Ave NE,Seattle,WA,98115,915000,4,1.75,Bryant,1800,5000,1946,99,508,,Sold,,,http://www.redfin.com/WA/Seattle/6233-38th-Ave-NE-98115/home/313380,NWMLS,1600306,N,Y,47.6749867,-122.2871837
PAST SALE,January-6-2020,Single Family Residential,8432 S 115th St,Seattle,WA,98178,625500,4,2.5,Bryn Mawr,2420,6000,1948,250,258,,Sold,,,http://www.redfin.com/WA/Seattle/8432-S-115th-St-98178/home/198112,NWMLS,1518533,N,Y,47.500617,-122.2261083
PAST SALE,June-26-2020,Single Family Residential,5941 41st Ave SW,Seattle,WA,98136,507000,1,1.0,Fairmount,672,5200,1937,78,754,,Sold,,,http://www.redfin.com/WA/Seattle/5941-41st-Ave-SW-98136/home/471154,NWMLS,1598729,N,Y,47.5490591,-122.3846326
PAST SALE,August-25-2020,Single Family Residential,10063 Dibble Ave NW,Seattle,WA,98177,550000,3,1.0,Crown Hill,1070,8168,1948,18,514,,Sold,,,http://www.redfin.com/WA/Seattle/10063-Dibble-Ave-NW-98177/home/95718,NWMLS,1654520,N,Y,47.7033522,-122.3676834
PAST SALE,March-27-2020,Single Family Residential,5427 Kensington Pl N,Seattle,WA,98103,855000,2,1.0,Wallingford,1430,4712,1918,169,598,,Sold,,,http://www.redfin.com/WA/Seattle/5427-Kensington-Pl-N-98103/home/304250,NWMLS,1570129,N,Y,47.6685969,-122.3303679
PAST SALE,August-26-2020,Single Family Residential,3635 36th Ave W,Seattle,WA,98199,733000,3,1.0,Seattle,1080,4592,1943,17,679,,Sold,,,http://www.redfin.com/WA/Seattle/3635-36th-Ave-W-98199/home/126901,NWMLS,1622817,N,Y,47.6532791,-122.4038392
PAST SALE,June-4-2020,Single Family Residential,807 NW 57th St,Seattle,WA,98107,817000,3,1.75,Ballard,1780,4200,1941,100,459,,Sold,,,http://www.redfin.com/WA/Seattle/807-NW-57th-St-98107/home/494790,NWMLS,1600925,N,Y,47.6699376,-122.3665939
PAST SALE,July-9-2020,Single Family Residential,314 NW 49th St,Seattle,WA,98107,775000,3,1.5,Phinney Ridge,1730,3340,1951,65,448,,Sold,,,http://www.redfin.com/WA/Seattle/314-NW-49th-St-98107/home/302116,NWMLS,1610243,N,Y,47.6645667,-122.3614727
PAST SALE,October-17-2019,Single Family Residential,2903 27th Ave W,Seattle,WA,98199,1590000,4,2.25,Magnolia,3010,7800,1937,331,528,,Sold,,,http://www.redfin.com/WA/Seattle/2903-27th-Ave-W-98199/home/124934,NWMLS,1486758,N,Y,47.6459339,-122.3919851
PAST SALE,August-18-2020,Single Family Residential,7745 17th Ave NE,Seattle,WA,98115,1250000,4,2.0,Roosevelt,2350,4305,1921,25,532,,Sold,,,http://www.redfin.com/WA/Seattle/7745-17th-Ave-NE-98115/home/309408,NWMLS,1627551,N,Y,47.6862114,-122.3102019
PAST SALE,July-9-2020,Single Family Residential,5210 13th Ave S,Seattle,WA,98108,990000,4,3.5,Beacon Hill,2532,4465,2020,65,391,,Sold,,,http://www.redfin.com/WA/Seattle/5210-13th-Ave-S-98108/home/147713608,NWMLS,1576502,N,Y,47.5552298,-122.3157904
PAST SALE,June-26-2020,Single Family Residential,10827 2nd Ave SW,Seattle,WA,98146,426000,3,1.0,White Center,1290,6965,1939,78,330,,Sold,,,http://www.redfin.com/WA/Seattle/10827-2nd-Ave-SW-98146/home/181735,NWMLS,1607324,N,Y,47.5059021,-122.3366851
PAST SALE,August-14-2020,Single Family Residential,2264 N 56th St,Seattle,WA,98103,1003000,3,1.75,Wallingford,1760,3200,1940,29,570,,Sold,,,http://www.redfin.com/WA/Seattle/2264-N-56th-St-98103/home/304998,NWMLS,1637384,N,Y,47.6693779,-122.3311195
PAST SALE,December-10-2019,Single Family Residential,8021 43rd Ave NE,Seattle,WA,98115,849000,3,2.5,Wedgwood,2080,5376,1962,277,408,,Sold,,,http://www.redfin.com/WA/Seattle/8021-43rd-Ave-NE-98115/home/317171,NWMLS,1519830,N,Y,47.6872713,-122.2824366
PAST SALE,August-28-2020,Single Family Residential,2510 NE 117th St,Seattle,WA,98125,550000,4,1.0,Victory Heights,1180,7800,1953,15,466,,Sold,,,http://www.redfin.com/WA/Seattle/2510-NE-117th-St-98125/home/116938,NWMLS,1628348,N,Y,47.7141817,-122.3011474
PAST SALE,March-23-2020,Single Family Residential,10254 26th Ave SW,Seattle,WA,98146,707000,3,1.75,White Center,2190,19800,1994,173,323,,Sold,,,http://www.redfin.com/WA/Seattle/10254-26th-Ave-SW-98146/home/179178,NWMLS,1576035,N,Y,47.5105809,-122.3649573
PAST SALE,April-3-2020,Single Family Residential,4408 SW Graham St,Seattle,WA,98136,595000,2,1.0,Seaview,640,4000,1918,162,930,,Sold,,,http://www.redfin.com/WA/Seattle/4408-SW-Graham-St-98136/home/154095,NWMLS,1573364,N,Y,47.5469148,-122.3892202
PAST SALE,August-20-2020,Single Family Residential,3235 30th Ave W,Seattle,WA,98199,1250000,5,2.0,Magnolia,2320,8556,1954,23,539,,Sold,,,http://www.redfin.com/WA/Seattle/3235-30th-Ave-W-98199/home/127835,NWMLS,1635617,N,Y,47.6497911,-122.3959187
PAST SALE,August-7-2020,Single Family Residential,528 N 79th St,Seattle,WA,98103,960000,3,2.0,Greenwood,1880,4500,1941,36,511,,Sold,,,http://www.redfin.com/WA/Seattle/528-N-79th-St-98103/home/299937,NWMLS,1627610,N,Y,47.6864001,-122.351225
PAST SALE,September-3-2020,Single Family Residential,210 28th Ave S,Seattle,WA,98144,1000000,3,2.5,Leschi,2910,3794,1907,9,344,,Sold,,,http://www.redfin.com/WA/Seattle/210-28th-Ave-S-98144/home/149193,NWMLS,1636982,N,Y,47.6004719,-122.2956345
